bin_label,bin_interval,bin_num,bin_mean,bin_stddev,bin_stderr,bin_median,bin_rstddev,bin_unc
-0.65,"(-0.7, -0.6]",3,0.0613765716553,0.021477582468,0.0151869442066,0.0720024108887,0.0143800821304,0.0104054454702
-0.55,"(-0.6, -0.5]",8,0.065181016922,0.0172868822083,0.00653382732384,0.0669736862183,0.0146846580505,0.00650696967773
-0.45,"(-0.5, -0.4]",14,0.0343326841082,0.0240618175485,0.00667354745785,0.0319480895996,0.0180865802765,0.00605832239914
-0.35,"(-0.4, -0.3]",55,0.022125417536,0.0195753148153,0.00266386293621,0.0206317901611,0.0178357114792,0.00301417894691
-0.25,"(-0.3, -0.2]",71,0.0229158401489,0.0974199743891,0.011643914051,0.0159816741943,0.0208821773529,0.00310603642219
-0.15,"(-0.2, -0.1]",89,0.0605950194798,0.113352012273,0.0120833651084,0.0287113189697,0.0240735111237,0.00319819081719
-0.05,"(-0.1, -1]",100,0.0589445018768,0.112306815574,0.0112872596563,0.0304107666016,0.0399683461189,0.0050092893236
0.05,"(-1, 0.1]",85,0.0537877475514,0.107462928975,0.0117251668198,0.0307350158691,0.0535233879089,0.0072760231326
0.15,"(0.1, 0.2]",116,0.0297607800056,0.085889794838,0.00800926466652,0.0275964736938,0.0295148906708,0.00343456802752
0.25,"(0.2, 0.3]",248,0.0385739841769,0.0809200527173,0.00514881965632,0.0309114456177,0.0284562950134,0.00226470924379
0.35,"(0.3, 0.4]",1343,0.0222970844647,0.0402508139292,0.00109874878777,0.025842666626,0.0198030881882,0.000677259107068
0.45,"(0.4, 0.5]",4692,0.0232521757954,0.0247632328287,0.000361555210363,0.0237512588501,0.0180530133247,0.000330316782437
0.55,"(0.5, 0.6]",12265,0.0220414281815,0.021332343131,0.000192629363573,0.0224437713623,0.0173099470139,0.000195894345722
0.65,"(0.6, 0.7]",17338,0.0201271420491,0.0182723432799,0.000138773733049,0.0204753875732,0.0170657916069,0.000162437717104
0.75,"(0.7, 0.8]",15238,0.0173445886351,0.0196006295873,0.000158788953932,0.0178146362305,0.0170311646461,0.000172918038849
0.85,"(0.8, 0.9]",12668,0.0140776224681,0.0187698142026,0.000166771981326,0.0144014358521,0.0168643898964,0.000187791765743
0.95,"(0.9, 1]",10378,0.0114124101994,0.0196587279499,0.000192983200362,0.0118155479431,0.0170444147587,0.000209693611311
1.05,"(1, 1.1]",8272,0.00874710486521,0.019773910735,0.000217427042688,0.00938701629639,0.0170770983696,0.000235325373005
1.15,"(1.1, 1.2]",6904,0.00659387523302,0.0195935524086,0.000235827390916,0.00718212127686,0.0171032452583,0.000257981207194
1.25,"(1.2, 1.3]",6020,0.00458337080439,0.0194369525196,0.000250533613351,0.0050687789917,0.0169265770912,0.00027342035096
1.35,"(1.3, 1.4]",5550,0.0023966723949,0.0203587268864,0.000273302279462,0.00247573852539,0.0175106420517,0.00029458831568
1.45,"(1.4, 1.5]",5247,0.000394506547163,0.0191823568422,0.000264842587716,0.000665664672852,0.016980284214,0.000293798356179
1.55,"(1.5, 1.6]",4935,-0.00199523566342,0.0195380000258,0.000278150940835,-0.0014705657959,0.0170198578835,0.000303649303575
1.65,"(1.6, 1.7]",5053,-0.00320233190836,0.0197531650862,0.000277910542763,-0.00269508361816,0.0173912143707,0.000306630391706
1.75,"(1.7, 1.8]",4956,-0.00571172173895,0.0189362091642,0.000269011727041,-0.00504302978516,0.0169753375053,0.000302212697549
1.85,"(1.8, 1.9]",5105,-0.00806082371517,0.0184516228608,0.000258273136368,-0.00784492492676,0.0173297338486,0.000303986262759
1.95,"(1.9, 2]",5146,-0.0104250887512,0.0188176172525,0.00026234448642,-0.0100860595703,0.0166121077538,0.000290235002263
2.05,"(2, 2.1]",5247,-0.0132829754471,0.0181363717593,0.00025040111953,-0.0127725601196,0.0170470647812,0.000294953815099
2.15,"(2.1, 2.2]",5459,-0.0156964209299,0.0180799341893,0.000244725981884,-0.0154819488525,0.0168371829987,0.000285609614808
2.25,"(2.2, 2.3]",5305,-0.0190955650121,0.0185553505866,0.000254781216363,-0.0185241699219,0.0170407047272,0.000293227566161
2.35,"(2.3, 2.4]",4789,-0.0227890297425,0.0185184461082,0.000267625487343,-0.0223045349121,0.0169106769562,0.000306265807378
2.45,"(2.4, 2.5]",4303,-0.027064844256,0.0202673756964,0.000309002729064,-0.0267601013184,0.0172152528763,0.000328918023554
2.55,"(2.5, 2.6]",3588,-0.0313935572221,0.0193200902633,0.000322584475349,-0.0309548377991,0.0168583831787,0.000352735883371
2.65,"(2.6, 2.7]",2683,-0.036534400738,0.0189525538928,0.000365963989632,-0.0357933044434,0.017358707428,0.000420017113116
2.75,"(2.7, 2.8]",1743,-0.0426427723003,0.0192589245696,0.000461432263066,-0.0421876907349,0.0181985878944,0.000546322309337
2.85,"(2.8, 2.9]",915,-0.0466790016883,0.0182567338322,0.000603879081882,-0.0463676452637,0.0184678301811,0.000765182913827
2.95,"(2.9, 3]",454,-0.0530072182811,0.0190058296556,0.000892971774009,-0.0530986785889,0.0174028744698,0.00102365355647
3.05,"(3, 3.1]",180,-0.0568214946323,0.0225554808426,0.00168587579157,-0.0567660331726,0.0201818647385,0.00188531957649
3.15,"(3.1, 3.2]",82,-0.0578290543905,0.0164357833829,0.00182619815365,-0.0560264587402,0.0164891467094,0.00228218682783
3.25,"(3.2, 3.3]",36,-0.0664350986481,0.0238382912463,0.00402940665445,-0.0591144561768,0.0244906246662,0.00511574102098
